score,neg_score,pos_score,obj_score,text1,text
1,0,0,1, district_attorney.n.01 code.v.01 script.n.01 amazing.s.02,The Da Vinci Code book is just awesome.
1,0.219047619,0,0.780952381, first_gear.n.01 clive.n.01 ever.r.03 understand.v.03 tied.s.05 script.n.01 like.n.02 relic.n.01 district_attorney.n.01 code.v.01 plausible.s.02,"this was the first clive cussler i've ever read, but even books like Relic, and Da Vinci code were more plausible than this."
1,0,0.533333333,0.466666667, liked.a.01 district_attorney.n.01 code.v.01 lot.n.02,i liked the Da Vinci Code a lot.
1,0,0.533333333,0.466666667, liked.a.01 district_attorney.n.01 code.v.01 lot.n.02,i liked the Da Vinci Code a lot.
1,0,0.625,0.375, liked.a.01 district_attorney.n.01 code.v.01 look.v.02 keep.v.01,I liked the Da Vinci Code but it ultimatly didn't seem to hold it's own.
1,0.396551724,0.396551724,0.206896552, tied.s.05 hyperbole.n.01 midnight.n.01 sound.v.02 buy.v.01 district_attorney.n.01 code.v.01 perplex.v.01 path.n.04,"that's not even an exaggeration ) and at midnight we went to Wal-Mart to buy the Da Vinci Code, which is amazing of course."
1,0.237288136,0.66440678,0.098305085, love.v.01 district_attorney.n.01 code.v.01 wish.n.01 well.r.11 unlike.a.01,"I loved the Da Vinci Code, but now I want something better and different!.."
1,0,0,1, thought.n.03 district_attorney.n.01 code.v.01 great.n.01 kite.v.04 stolon.n.01,"i thought da vinci code was great, same with kite runner."
1,0,0.421875,0.578125, district_attorney.n.01 code.v.01 actually.r.04 well.r.01 movie.n.01,The Da Vinci Code is actually a good movie...
1,0.278041074,0.191153239,0.530805687, thought.n.03 district_attorney.n.01 code.v.01 reasonably.r.01 well.r.01 script.n.01,I thought the Da Vinci Code was a pretty good book.
1,0,0,1, district_attorney.n.01 code.v.01 one.s.06 beautiful.s.02 movie.n.01 ever.r.03 visit.v.01,The Da Vinci Code is one of the most beautiful movies ive ever seen.
1,0.742857143,0.092857143,0.164285714, district_attorney.n.01 code.v.01 perplex.v.01 script.n.01 receive.v.02 wrong.n.02,"The Da Vinci Code is an * amazing * book, do not get me wrong."
1,0,0.816831683,0.183168317, turning.n.04 sparkle.n.01 radio.n.03 love.v.02 district_attorney.n.01 code.v.01,then I turn on the light and the radio and enjoy my Da Vinci Code.
1,0.240343348,0.330472103,0.429184549, district_attorney.n.01 code.v.01 very.r.01 well.r.01,The Da Vinci Code was REALLY good.
1,0,0.5,0.5, love.v.01 district_attorney.n.01 code.v.01,i love da vinci code....
1,0,0.5,0.5, love.v.01 district_attorney.n.01 code.v.01,i loved da vinci code..
1,0,0.786206897,0.213793103, night.n.06 district_attorney.n.01 code.v.01 beautiful.s.02 thinker.n.01,TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND...
1,0.090909091,0.636363636,0.272727273, district_attorney.n.01 code.v.01 amazing.s.02 script.n.01,THE DA VINCI CODE is AN AWESOME BOOK....
1,0,0,1, thing.n.12 love.v.02 district_attorney.n.01 code.v.01,"Thing is, I enjoyed The Da Vinci Code."
1,0.24137931,0.120689655,0.637931034, district_attorney.n.01 code.v.01 solidus.n.02 perplex.v.01 subspecies.n.01,very da vinci code slash amazing race.
1,0,0.583333333,0.416666667, love.v.01 district_attorney.n.01 code.v.01,Hey I loved The Da Vinci Code!..
1,0,0,1, besides.r.02 love.v.01 district_attorney.n.01 code.v.01,also loved the da vinci code..
